effect,term,estimate,std.error,statistic,p.value,conf.low,conf.high
fixed,(Intercept),-0.6505245249047612,0.1449977957080263,-4.486444236812296,7.2421660597848934e-6,-0.934714982330189,-0.36633406747933334
fixed,year2018,-2.8154350905300647,0.3110968671226722,-9.050027139681474,1.4293281068641277e-19,-3.425173745793745,-2.2056964352663844
fixed,year2019,0.7822162043337121,0.20284367648650467,3.8562513650049794,1.1513909330165726e-4,0.3846499039284688,1.1797825047389554
fixed,treatmentFull Dose,-6.794618305590017,0.5413319683740377,-12.551666449699162,3.8923127069646025e-36,-7.855609467283307,-5.733627143896728
fixed,treatmentHalf Dose,-6.1716472159293225,0.5411504437034957,-11.40467921210993,3.962352208969636e-30,-7.232282595806044,-5.111011836052601
fixed,treatmentIrish Rules,-0.09504373589395018,0.20529394483006225,-0.46296414622762144,0.643390066852994,-0.497412474005025,0.30732500221712455
fixed,treatmentBlight Man. (DK),-6.310630228348589,0.5394542245407562,-11.698175565722751,1.302231533009389e-31,-7.367941079756454,-5.253319376940723
fixed,treatmentModified I. R.,-6.266330311673296,0.5394916900838984,-11.615248996140783,3.4478248470535556e-31,-7.323714594196382,-5.20894602915021
fixed,varietyBQ,0.18742129241974212,0.13744524412552217,1.3636069666301383,0.17269129832101893,-0.0819664359125967,0.45680902075208096
fixed,varietyRO,-0.2436546579457067,0.14251412469556918,-1.7096877833420958,0.08732362302507916,-0.5229772096372726,0.03566789374585913
fixed,varietySE,-2.0165127034722263,0.21119363190020066,-9.548170015017913,1.3200737752806543e-21,-2.430444615760829,-1.6025807911836236
fixed,varietyCL,-4.822963211861564,0.4689554945341593,-10.284479589374454,8.278808848266223e-25,-5.742099091500687,-3.903827332222442
fixed,varietySM,-6.729856664402573,0.5188323193549071,-12.971159300118726,1.7831283738629127e-38,-7.7467493243535746,-5.712964004451571
fixed,year2018:treatmentFull Dose,2.6251804388293816,0.7861514994787691,3.3392805846836366,8.399567692752066e-4,1.0843518134588355,4.166009064199928
fixed,year2019:treatmentFull Dose,1.9783778686307327,0.6827511595643012,2.8976558163493094,0.0037596293087386184,0.640210185481743,3.3165455517797224
fixed,year2018:treatmentHalf Dose,2.127992338176065,0.7869622025432728,2.7040591419751863,0.0068498096348558945,0.5855747639969353,3.6704099123551943
fixed,year2019:treatmentHalf Dose,1.9828598731516724,0.6483107488604343,3.0585022331297713,0.0022244642125251166,0.7121941545950297,3.253525591708315
fixed,year2018:treatmentIrish Rules,-0.6132675416242233,0.4889923212930528,-1.2541455456857622,0.20978910828592348,-1.5716748800752451,0.34513979682679863
fixed,year2019:treatmentIrish Rules,-0.42166770373429374,0.28715298951665513,-1.468442673865447,0.14198401713819359,-0.9844772212399454,0.14114181377135793
fixed,year2018:treatmentBlight Man. (DK),2.2689668136568693,0.7855862257238483,2.8882466868181362,0.003873959203405359,0.7292461044873737,3.808687522826365
fixed,year2019:treatmentBlight Man. (DK),1.7806973917270246,0.6662295970081216,2.672798386207566,0.007522144394009177,0.4749113761564725,3.0864834072975764
fixed,year2018:treatmentModified I. R.,2.0968443675523925,0.7856068388034236,2.6690760110313523,0.007606023509491643,0.5570832574893188,3.636605477615466
fixed,year2019:treatmentModified I. R.,2.2157881639944343,0.6398005656470102,3.4632482104070625,5.336958303527913e-4,0.9618020980379403,3.4697742299509287
fixed,year2018:varietyBQ,-0.21858083977621234,0.3863270726324612,-0.565792188175647,0.5715350575068336,-0.9757679883886257,0.538606308836201
fixed,year2019:varietyBQ,-0.3417119094773676,0.19135595705843736,-1.7857395961444447,0.07414143099705649,-0.7167626935390978,0.03333887458436263
fixed,year2018:varietyRO,0.27952479292149457,0.3831481033477273,0.7295476357031864,0.4656667401096018,-0.4714316903848813,1.0304812762278703
fixed,year2019:varietyRO,-0.24255862844985385,0.19525765552002017,-1.2422490058269895,0.21414470364450863,-0.6252566009748217,0.14013934407511405
fixed,year2018:varietySE,-1.6461967772651342,0.6050832744549746,-2.720611933535821,0.006516120701020566,-2.8321382028444493,-0.46025535168581944
fixed,year2019:varietySE,0.8794661155357842,0.25420180552740174,3.4597162428139483,5.407448964489485e-4,0.3812397318970221,1.3776924991745463
fixed,year2018:varietyCL,0.9604520779731146,0.7270584403475545,1.321010835819458,0.1864977512197402,-0.4645562797639552,2.3854604357101845
fixed,year2019:varietyCL,-1.7698881682699557,0.6831633510150088,-2.5907247009669754,0.00957740739541465,-3.1088637318170678,-0.43091260472284376
fixed,year2018:varietySM,2.812937050481841,0.7566851743027675,3.717447025539738,2.0124616783014467e-4,1.329861361213004,4.296012739750679
fixed,year2019:varietySM,-0.7809660158181102,0.7181209208447763,-1.0875132490213553,0.2768100464910468,-2.1884571572186102,0.62652512558239
fixed,treatmentFull Dose:varietyBQ,-0.3779519472288193,0.7194652438390797,-0.5253234266217792,0.5993583746667238,-1.7880779132817433,1.0321740188241046
fixed,treatmentHalf Dose:varietyBQ,-0.6261655263692937,0.7208231261176441,-0.8686812391020574,0.38502150572917876,-2.038952892783449,0.7866218400448616
fixed,treatmentIrish Rules:varietyBQ,-0.06751858098237845,0.19612800425625018,-0.3442577271839382,0.7306524722913521,-0.45192240568434716,0.31688524371959026
fixed,treatmentBlight Man. (DK):varietyBQ,-0.34030955265562657,0.7203601718183383,-0.4724158358125419,0.6366300032887485,-1.7521895453166545,1.0715704400054014
fixed,treatmentModified I. R.:varietyBQ,-0.3140928403270941,0.7194731040511582,-0.43655953024306593,0.6624308176466626,-1.7242342121126026,1.0960485314584143
fixed,treatmentFull Dose:varietyRO,0.1961429093301666,0.7210695448616027,0.2720166324148567,0.7856092305693976,-1.2171274289472631,1.6094132476075962
fixed,treatmentHalf Dose:varietyRO,0.10747580283481384,0.7226693591495192,0.1487205752867367,0.8817741250600682,-1.3089301138288851,1.5238817194985126
fixed,treatmentIrish Rules:varietyRO,-0.3007104365780171,0.2073679478134061,-1.4501297801751045,0.1470223319777289,-0.7071441458402744,0.1057232726842402
fixed,treatmentBlight Man. (DK):varietyRO,-0.19562635262288014,0.7185803205983273,-0.2722400642143824,0.7854374379674872,-1.604017900994847,1.2127651957490868
